Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PECD Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Climate Year,SSP245_CMR5_2025,SSP245_CMR5_2026,SSP245_CMR5_2027,SSP245_CMR5_2028,SSP245_CMR5_2029,SSP245_CMR5_2030,SSP245_CMR5_2031,SSP245_CMR5_2032,SSP245_CMR5_2033,SSP245_CMR5_2034,SSP245_ECE3_2025,SSP245_ECE3_2026,SSP245_ECE3_2027,SSP245_ECE3_2028,SSP245_ECE3_2029,SSP245_ECE3_2030,SSP245_ECE3_2031,SSP245_ECE3_2032,SSP245_ECE3_2033,SSP245_ECE3_2034,SSP245_MEHR_2025,SSP245_MEHR_2026,SSP245_MEHR_2027,SSP245_MEHR_2028,SSP245_MEHR_2029,SSP245_MEHR_2030,SSP245_MEHR_2031,SSP245_MEHR_2032,SSP245_MEHR_2033,SSP245_MEHR_2034
16.04.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.04.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.04.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.04.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.04.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.04.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.04.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.04.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.04.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.04.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.04.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.04.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.04.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.04.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.04.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.04.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.04.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.04.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.04.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.04.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.04.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.04.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.04.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.04.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.04.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.04.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.04.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.04.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.04.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.04.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.04.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.04.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.04.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.04.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.04.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.04.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.04.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.04.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.04.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.04.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.04.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.04.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.04.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.04.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.04.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.04.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.04.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.04.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.04.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.04.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.04.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.04.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.04.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.04.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.04.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.04.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.04.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.04.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.04.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.04.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.04.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.04.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.04.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.04.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.04.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.04.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.04.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.04.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.04.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.04.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.04.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.04.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.04.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.04.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.04.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.04.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.04.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.04.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.04.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.04.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.04.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.04.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.04.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.04.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.04.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.04.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.04.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.04.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.04.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.04.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.04.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.04.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.04.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.04.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.04.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.04.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.04.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.04.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.04.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.04.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.04.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.04.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.04.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.04.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.04.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.04.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.04.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.04.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.04.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.04.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.04.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.04.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.04.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.04.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.04.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.04.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.04.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.04.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.04.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.04.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.04.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.04.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.04.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.04.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.04.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.04.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.04.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.04.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.04.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.04.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.04.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.04.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.04.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.04.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.04.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.04.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.04.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.04.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.04.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.04.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.04.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.04.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.04.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.04.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.04.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.04.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.04.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.04.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.04.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.04.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.04.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.04.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.04.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.04.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.04.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.04.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.04.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.04.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.04.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.04.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.04.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.04.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.04.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.04.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.04.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.04.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.04.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.04.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.04.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.04.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.04.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.04.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.04.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.04.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.04.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.04.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.04.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.04.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.04.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.04.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.04.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.04.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.04.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.04.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.04.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.04.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.04.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.04.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.04.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.04.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.04.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.04.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.04.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.04.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.04.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.04.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.04.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.04.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.04.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.04.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.04.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.04.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.04.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.04.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.04.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.04.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.04.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.04.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.04.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.04.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.04.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.04.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.04.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.04.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.04.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.04.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.04.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.04.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.04.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.04.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.04.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.04.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.04.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.04.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.04.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.04.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.04.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.04.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.04.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.04.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.04.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.04.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.04.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.04.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.04.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.04.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.04.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.04.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.04.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.04.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.04.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.04.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.04.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.04.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.04.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.04.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.04.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.04.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.04.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.04.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.04.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.04.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.04.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.04.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.04.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.04.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.04.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.04.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.04.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.04.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.04.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.04.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.04.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.04.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.04.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.04.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.04.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.04.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.04.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.04.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.04.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.04.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.04.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.04.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.04.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.04.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.04.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.04.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.04.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.04.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.04.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.04.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.04.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.04.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.04.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.04.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.04.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.04.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.04.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.04.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.04.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.04.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.04.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.04.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.04.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.04.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.04.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.04.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.05.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.05.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.05.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.05.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.05.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.05.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.05.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.05.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.05.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.05.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.05.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.05.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.05.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.05.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.05.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
